t;x;y;z;Flag
1497384149,633948;0,3000065743775002;-1,83701045517284e-17;0,0;False
1497384149,8791115;0,5996024519195624;-0,01569250870715957;0,0;False
1497384150,1192734;0,8980551831658049;-0,046186965275210184;0,0;False
1497384150,3574579;1,1946613540997273;-0,0912283244203273;0,0;False
1497384150,5936599;1,488748215181871;-0,15053146774827;0,0;False
1497384150,8368208;1,7796599075438353;-0,22384130281028877;0,0;False
1497384151,0760062;2,066606513074323;-0,31139465936646654;0,0;False
1497384151,3191683;2,3489934275533804;-0,41269409273467567;0,0;False
1497384151,85655;2,6260466302050776;-0,5277830477658174;0,0;False
1497384152,1458533;2,8889172476027616;-0,672361687884899;0,0;False
1497384152,388033;3,142862722125703;-0,8320978473449309;0,0;False
1497384152,6351995;3,38866419406516;-1,0041024433943355;0,0;False
1497384152,8753643;3,625543500262446;-1,1882006209116995;0,0;False
1497384153,119586;3,853223423122994;-1,3835613063014105;0,0;False
1497384153,369779;4,070915618986527;-1,5899930202647345;0,0;False
1497384153,6109388;4,277863651367411;-1,8071944396049486;0,0;False
1497384153,8881266;4,473997392714508;-2,034208756719338;0,0;False
1497384154,1302962;4,657025542729658;-2,271915805356425;0,0;False
1497384154,3764565;4,828169662639269;-2,518317174853608;0,0;False
1497384154,6256227;4,986811547271396;-2,7729476858103466;0,0;False
1497384154,919902;5,132396527425361;-3,035262302679655;0,0;False
1497384155,1630676;5,262085029830305;-3,305789264392689;0,0;False
1497384155,40423;5,378343643060125;-3,5823536863988497;0,0;False
1497384155,6503932;5,480949653924748;-3,864268480626062;0,0;False
1497384155,8936627;5,569309115034407;-4,150967888198058;0,0;False
1497384156,1518776;5,643429862422021;-4,441674027583562;0,0;False
1497384156,390036;5,702240781092517;-4,735859718117372;0,0;False
1497384176,73422;5,746787282383918;-5,0325406138495;0,0;False
1497384176,9704568;5,775996932055786;-5,331121827317075;0,0;False
1497384177,2066536;5,790820727362826;-5,630761944394908;0,0;False
1497384177,4398136;5,791287436421078;-5,9307681557512355;0,0;False
1497384177,6719697;5,777580458238059;-6,230461437989614;0,0;False
1497384177,9061308;5,749791191409565;-6,5291781956696235;0,0;False
1497384178,1472876;5,707920776427443;-6,8262485796175145;0,0;False
1497384178,3884504;5,651525070033986;-7,120906803616278;0,0;False
1497384178,635661;5,580798797835879;-7,412457380859202;0,0;False
1497384178,9268787;5,495558258143986;-7,700099511053576;0,0;False
1497384179,1680403;5,393554324694453;-7,982232710501187;0,0;False
1497384179,409221;5,277830081654586;-8,259021157230043;0,0;False
1497384179,6433816;5,148718334026212;-8,529823855322343;0,0;False
1497384179,8785374;5,006903617056527;-8,794195810568226;0,0;False
1497384180,1176991;4,852653439142082;-9,051510457028712;0,0;False
1497384180,3568625;4,686115509079354;-9,30104815462197;0,0;False
1497384180,6070683;4,5076810363605855;-9,542222538865607;0,0;False
1497384181,4316664;4,317297051362161;-9,774080001384807;0,0;False
1497384181,6748319;4,090953172439242;-9,970987068662367;0,0;False
1497384181,9159944;3,8551828358282196;-10,156503356475723;0,0;False
1497384182,2112129;3,6106292276692793;-10,330277570345807;0,0;False
1497384182,4523954;3,356120980528203;-10,489115528047671;0,0;False
1497384182,6956022;3,094154837205956;-10,635326623463138;0,0;False
1497384182,9357862;2,825302104264668;-10,768451199179731;0,0;False
1497384183,1779687;2,5502894103869647;-10,888334320910236;0,0;False
1497384183,4181306;2,2697253902760846;-10,99457826327376;0,0;False
1497384183,6612947;1,98434260756075;-11,087101838644445;0,0;False
1497384183,9034595;1,6947320328525983;-11,165393981845003;0,0;False
1497384184,142663;1,4016418047636405;-11,229441330490246;0,0;False
1497384184,3839264;1,105791846979319;-11,279208258753277;0,0;False
1497384184,6250896;0,8078556565050576;-11,314393071889162;0,0;False
1497384184,922287;0,5085602991999827;-11,33503850153715;0,0;False
1497384185,1675167;0,20856489642564768;-11,33762751370148;0,0;False
1497384185,4087038;-0,09118861277516455;-11,325307676384327;0,0;False
1497384185,6508665;-0,3899764691140006;-11,298293576840466;0,0;False
1497384185,8921113;-0,6870789900005617;-11,256651809916223;0,0;False
1497384186,1282897;-0,9817909356378767;-11,20053751790081;0,0;False
1497384186,3724544;-1,2734799465374467;-11,130384359809723;0,0;False
1497384186,6336925;-1,5613412634534316;-11,045886981784617;0,0;False
1497384186,8718553;-1,8443269106161477;-10,946272383609344;0,0;False
1497384187,1100528;-2,1221759020018753;-10,833118140844627;0,0;False
1497384187,3502147;-2,394239963527437;-10,706685980790558;0,0;False
1497384187,6464145;-2,6598294757999708;-10,567164815225759;0,0;False
1497384187,8896;-2,91660033959108;-10,412011123108265;0,0;False
1497384188,1297643;-3,165414484403117;-10,244394101266277;0,0;False
1497384188,376929;-3,4057410411615163;-10,064819351408802;0,0;False
1497384188,6181152;-3,6367732727816593;-9,87343478405203;0,0;False
1497384188,8612778;-3,8581769191399955;-9,670988815830988;0,0;False
1497384189,102442;-4,069337576973357;-9,4578805774799;0,0;False
1497384189,346625;-4,269832793380702;-9,23470886585969;0,0;False
1497384189,587787;-4,459041144737691;-9,001891030532384;0,0;False
1497384189,830976;-4,636647315374506;-8,760106016891239;0,0;False
1497384190,0731568;-4,802124185742214;-8,509863434497612;0,0;False
1497384190,3693902;-4,955174750575158;-8,251833457025926;0,0;False
1497384190,612554;-5,09241132328019;-7,985056269504394;0,0;False
1497384190,8537166;-5,216337581952801;-7,71184165225061;0,0;False
1497384191,0968833;-5,326765692900035;-7,432897971586667;0,0;False
1497384191,3520758;-5,423374234194331;-7,148872031893281;0,0;False
1497384191,5972624;-5,505109761685722;-6,860214365763613;0,0;False
1497384191,8384476;-5,5724045003094025;-6,567852667137933;0,0;False
1497384192,0836134;-5,625391618968325;-6,272562454083135;0,0;False
1497384192,325778;-5,663584924109912;-5,974996972025683;0,0;False
1497384192,5709705;-5,6871318842484015;-5,675915903855264;0,0;False
1497384192,8211408;-5,695852623421174;-5,376036105639374;0,0;False
1497384193,1103346;-5,689301338668283;-5,076101070443735;0,0;False
1497384193,3514984;-5,665189687531306;-4,777064997453918;0,0;False
1497384193,5917332;-5,626494933681655;-4,479564307212303;0,0;False
1497384193,8298936;-5,573365112330445;-4,184299736440747;0,0;False
1497384194,072057;-5,506049104326731;-3,8919429343372784;0,0;False
1497384194,312219;-5,424469471895925;-3,6032411708473804;0,0;False
1497384194,5533814;-5,328938101205704;-3,318851118483079;0,0;False
1497384194,7935643;-5,219624661747386;-3,039468734243279;0,0;False
1497384195,0387518;-5,0968446599781965;-2,765737084930891;0,0;False
1497384195,2779913;-4,960672041801832;-2,4984152513132147;0,0;False
1497384195,5221558;-4,811648588945614;-2,2380386871440616;0,0;False
1497384195,8224216;-4,649926554804807;-1,9853532535649128;0,0;False
1497384196,062581;-4,473134372723533;-1,7429724188756495;0,0;False
1497384196,3087687;-4,28475735712991;-1,509481424047664;0,0;False
1497384196,5589373;-4,084968199721676;-1,2856774087757517;0,0;False
1497384196,8341827;-3,8740920431676953;-1,072287645041069;0,0;False
1497384197,076346;-3,65164493349544;-0,8709887924159678;0,0;False
1497384197,3215122;-3,4195888818159488;-0,6808469149963742;0,0;False
1497384197,5636766;-3,178374258249526;-0,5024668431065145;0,0;False
1497384197,802839;-2,9286977828025442;-0,33613704337689554;0,0;False
1497384198,046002;-2,671254584777;-0,1821015135141299;0,0;False
1497384198,2931662;-2,4065349933240854;-0,040936777936420365;0,0;False
1497384198,5843768;-2,13510419004638;0,08684922952035212;0,0;False
1497384198,8305295;-1,8565850305078277;0,1983437246295771;0,0;False
1497384199,0727692;-1,5728716681468229;0,2958664024411287;0,0;False
1497384199,3159719;-1,2847137226582939;0,3793465984252813;0,0;False
1497384199,5631402;-0,9927921846732213;0,44852578843320495;0,0;False
1497384199,804306;-0,6977614989090719;0,5029393816545531;0,0;False
1497384200,0524683;-0,40042438736897334;0,5428716589589285;0,0;False
1497384200,2946315;-0,10146062296211433;0,5678639025837545;0,0;False
1497384200,5397968;0,1983693233157668;0,5781570063297343;0,0;False
1497384200,7829607;0,4983394879000429;0,5734831397286347;0,0;False
1497384201,0281334;0,797715089746623;0,5540359371349325;0,0;False
1497384201,3243506;1,0957620369368963;0,5198020074703298;0,0;False
1497384201,5706108;1,3912070605463986;0,4676849978275729;0,0;False
1497384201,8227785;1,6836972858605486;0,40095110265128076;0,0;False
1497384202,0679464;1,9723794224529594;0,319302044590803;0,0;False
1497384202,314112;2,256649340552355;0,2234137849680245;0,0;False
1497384202,5562956;2,535782943562554;0,11346663247980793;0,0;False
1497384202,7934754;2,809210214502077;-0,00998972489512498;0,0;False
1497384203,039643;3,076361007078918;-0,1464975953469365;0,0;False
1497384203,2778008;3,336370783735759;-0,2961600846773702;0,0;False
